"name","version","build","channel"
"lcms2","2.17",,"conda-forge"
"ld_impl_linux-64","2.44",,"conda-forge"
"legacy-api-wrap","1.4.1",,"pypi"
"lerc","4.0.0",,"conda-forge"
"libabseil","20240722.0",,"conda-forge"
"libaec","1.1.4",,"conda-forge"
"libamd","3.3.3",,"conda-forge"
"libavif16","1.4.2",,"conda-forge"
"libblas","3.9.0",,"conda-forge"
"libbrotlicommon","1.1.0",,"conda-forge"
"libbrotlidec","1.1.0",,"conda-forge"
"libbrotlienc","1.1.0",,"conda-forge"
"libbtf","2.3.2",,"conda-forge"
"libcamd","3.3.3",,"conda-forge"
"libcap","2.77",,"conda-forge"
"libcblas","3.9.0",,"conda-forge"
"libccolamd","3.3.4",,"conda-forge"
"libcholmod","5.3.0",,"conda-forge"
"libclang-cpp20.1","20.1.8",,"conda-forge"
"libclang13","21.1.0",,"conda-forge"
"libcolamd","3.3.4",,"conda-forge"
"libcublas","12.9.2.10",,"conda-forge"
"libcudnn","9.10.2.21",,"conda-forge"
"libcudnn-dev","9.10.2.21",,"conda-forge"
"libcudss0","0.4.0.2",,"conda-forge"
"libcufft","11.4.1.4",,"conda-forge"
"libcufile","1.14.1.1",,"conda-forge"
"libcups","2.3.3",,"conda-forge"
"libcurand","10.3.10.19",,"conda-forge"
"libcurl","8.17.0",,"conda-forge"
"libcusolver","11.7.5.82",,"conda-forge"
"libcusparse","12.5.10.65",,"conda-forge"
"libcxsparse","4.4.1",,"conda-forge"
"libdeflate","1.24",,"conda-forge"
"libdrm","2.4.125",,"conda-forge"
"libedit","3.1.20250104",,"conda-forge"
"libegl","1.7.0",,"conda-forge"
"libev","4.33",,"conda-forge"
"libevent","2.1.12",,"conda-forge"
"libexpat","2.7.1",,"conda-forge"
"libfabric","2.3.1",,"conda-forge"
"libfabric1","2.3.1",,"conda-forge"
"libffi","3.4.6",,"conda-forge"
"libfreetype","2.14.1",,"conda-forge"
"libfreetype6","2.14.1",,"conda-forge"
"libgcc","15.1.0",,"conda-forge"
"libgcc-ng","15.1.0",,"conda-forge"
"libgfortran","15.1.0",,"conda-forge"
"libgfortran-ng","15.1.0",,"conda-forge"
"libgfortran5","15.1.0",,"conda-forge"
"libgl","1.7.0",,"conda-forge"
"libglib","2.84.3",,"conda-forge"
"libglvnd","1.7.0",,"conda-forge"
"libglx","1.7.0",,"conda-forge"
"libgomp","15.1.0",,"conda-forge"
"libhwloc","2.12.1",,"conda-forge"
"libiconv","1.18",,"conda-forge"
"libjpeg-turbo","3.1.0",,"conda-forge"
"libklu","2.3.5",,"conda-forge"
"liblapack","3.9.0",,"conda-forge"
"libldl","3.3.2",,"conda-forge"
"libllvm14","14.0.6",,"conda-forge"
"libllvm20","20.1.8",,"conda-forge"
"libllvm21","21.1.0",,"conda-forge"
"liblzma","5.8.1",,"conda-forge"
"liblzma-devel","5.8.1",,"conda-forge"
"libmagma","2.8.0",,"conda-forge"
"libnghttp2","1.67.0",,"conda-forge"
"libnl","3.11.0",,"conda-forge"
"libnsl","2.0.1",,"conda-forge"
"libntlm","1.8",,"conda-forge"
"libnvjitlink","12.9.86",,"conda-forge"
"libopenblas","0.3.30",,"conda-forge"
"libopengl","1.7.0",,"conda-forge"
"libparu","1.0.0",,"conda-forge"
"libpciaccess","0.18",,"conda-forge"
"libpmix","5.0.8",,"conda-forge"
"libpng","1.6.50",,"conda-forge"
"libpq","17.6",,"conda-forge"
"libprotobuf","5.28.2",,"conda-forge"
"libptscotch","7.0.4",,"conda-forge"
"librbio","4.3.4",,"conda-forge"
"libscotch","7.0.4",,"conda-forge"
"libsodium","1.0.20",,"conda-forge"
"libspex","3.2.1",,"conda-forge"
"libspqr","4.3.4",,"conda-forge"
"libsqlite","3.50.4",,"conda-forge"
"libssh2","1.11.1",,"conda-forge"
"libstdcxx","15.1.0",,"conda-forge"
"libstdcxx-ng","15.1.0",,"conda-forge"
"libsuitesparseconfig","7.8.3",,"conda-forge"
"libsystemd0","258.2",,"conda-forge"
"libtiff","4.7.1",,"conda-forge"
"libtorch","2.5.1",,"conda-forge"
"libudev1","258.2",,"conda-forge"
"libumfpack","6.3.5",,"conda-forge"
"libuuid","2.41.2",,"conda-forge"
"libuv","1.52.1",,"conda-forge"
"libwebp-base","1.6.0",,"conda-forge"
"libxcb","1.17.0",,"conda-forge"
"libxcrypt","4.4.36",,"conda-forge"
"libxkbcommon","1.11.0",,"conda-forge"
"libxml2","2.13.8",,"conda-forge"
"libxslt","1.1.43",,"conda-forge"
"libzlib","1.3.1",,"conda-forge"
"lightning","2.5.3",,"conda-forge"
"lightning-utilities","0.15.2",,"conda-forge"
"llvmlite","0.43.0",,"pypi"
"logomaker","0.8.7",,"pypi"
"loguru","0.7.3",,"pypi"
"loompy","3.0.8",,"pypi"
"louvain","0.8.2",,"pypi"
"lz4-c","1.10.0",,"conda-forge"
"markdown-it-py","3.0.0",,"conda-forge"
"markupsafe","3.0.3",,"pypi"
"matplotlib","3.6.3",,"pypi"
"matplotlib-inline","0.1.7",,"conda-forge"
"matplotlib-venn","1.1.2",,"conda-forge"
"mdurl","0.1.2",,"conda-forge"
"metis","5.1.0",,"conda-forge"
"mistune","3.1.4",,"pypi"
"ml-collections","0.1.1",,"conda-forge"
"ml_dtypes","0.5.1",,"conda-forge"
"mpc","1.3.1",,"conda-forge"
"mpfr","4.2.1",,"conda-forge"
"mpi","1.0.1",,"conda-forge"
"mpi4py","4.1.0",,"conda-forge"
"mpmath","1.3.0",,"conda-forge"
"msgpack-python","1.1.1",,"conda-forge"
"mudata","0.2.4",,"conda-forge"
"multipledispatch","0.6.0",,"conda-forge"
"mumps-include","5.7.3",,"conda-forge"
"mumps-mpi","5.7.3",,"conda-forge"
"munkres","1.1.4",,"conda-forge"
"mygene","3.2.2",,"pypi"
"mysql-connector-python","8.4.0",,"pypi"
"natsort","8.4.0",,"conda-forge"
"nbclient","0.10.2",,"pypi"
"nbconvert","7.16.6",,"pypi"
"nbformat","5.10.4",,"pypi"
"nccl","2.30.7.1",,"conda-forge"
"ncurses","6.5",,"conda-forge"
"nest-asyncio","1.6.0",,"conda-forge"
"networkx","3.2.1",,"conda-forge"
"nomkl","1.0",,"conda-forge"
"notebook","7.4.7",,"pypi"
"notebook-shim","0.2.4",,"pypi"
"numba","0.60.0",,"conda-forge"
"numpy","1.26.4",,"conda-forge"
"numpy_groupies","0.11.3",,"conda-forge"
"numpyro","0.19.0",,"conda-forge"
"openjpeg","2.5.4",,"conda-forge"
"openldap","2.6.10",,"conda-forge"
"openmpi","5.0.8",,"conda-forge"
"openpyxl","3.1.5",,"conda-forge"
"openssl","3.6.3",,"conda-forge"
"opt-einsum","3.4.0",,"conda-forge"
"opt_einsum","3.4.0",,"conda-forge"
"optax","0.2.2",,"conda-forge"
"optree","0.17.0",,"conda-forge"
"orbax-checkpoint","0.4.4",,"conda-forge"
"overrides","7.7.0",,"pypi"
"packaging","25.0",,"conda-forge"
"palettable","3.3.3",,"pypi"
"pandas","1.5.3",,"pypi"
"pandocfilters","1.5.1",,"pypi"
"parmetis","4.0.3",,"conda-forge"
"parso","0.8.5",,"pypi"
"patsy","1.0.1",,"conda-forge"
"pcre2","10.45",,"conda-forge"
"petsc","3.21.5",,"conda-forge"
"petsc4py","3.21.5",,"conda-forge"
"pexpect","4.9.0",,"conda-forge"
"pickleshare","0.7.5",,"conda-forge"
"pillow","11.3.0",,"conda-forge"
"pip","25.2",,"conda-forge"
"pixman","0.46.4",,"conda-forge"
"platformdirs","4.4.0",,"pypi"
"progressbar2","4.5.0",,"conda-forge"
"prometheus-client","0.23.1",,"pypi"
"prompt-toolkit","3.0.52",,"pypi"
"protobuf","5.28.2",,"conda-forge"
"psutil","7.1.0",,"pypi"
"pthread-stubs","0.4",,"conda-forge"
"ptyprocess","0.7.0",,"conda-forge"
"pure_eval","0.2.3",,"conda-forge"
"pyarrow","21.0.0",,"pypi"
"pybedtools","0.12.0",,"pypi"
"pybigwig","0.3.24",,"pypi"
"pybind11","2.13.6",,"conda-forge"
"pybind11-abi","4",,"conda-forge"
"pybind11-global","2.13.6",,"conda-forge"
"pycparser","2.23",,"pypi"
"pydot","4.0.1",,"pypi"
"pyfaidx","0.9.0.3",,"pypi"
"pygam","0.9.1",,"conda-forge"
"pygments","2.19.2",,"conda-forge"
"pygpcca","1.0.4",,"conda-forge"
"pymongo","4.13.2",,"conda-forge"
"pynndescent","0.5.13",,"conda-forge"
"pyparsing","3.2.5",,"pypi"
"pyro-api","0.1.2",,"conda-forge"
"pyro-ppl","1.9.1",,"conda-forge"
"pysam","0.23.3",,"pypi"
"pyside6","6.9.1",,"conda-forge"
"pysocks","1.7.1",,"conda-forge"
"python","3.9.23",,"conda-forge"
"python-dateutil","2.9.0.post0",,"conda-forge"
"python-json-logger","3.3.0",,"pypi"
"python-tzdata","2025.2",,"conda-forge"
"python-utils","3.9.1",,"conda-forge"
"python_abi","3.9",,"conda-forge"
"pytorch","2.5.1",,"conda-forge"
"pytorch-lightning","2.5.3",,"conda-forge"
"pytz","2025.2",,"conda-forge"
"pyyaml","6.0.3",,"pypi"
"pyzmq","27.1.0",,"pypi"
"qhull","2020.2",,"conda-forge"
"qnorm","0.9.0",,"pypi"
"qt6-main","6.9.1",,"conda-forge"
"rav1e","0.8.1",,"conda-forge"
"rdma-core","60.0",,"conda-forge"
"readline","8.2",,"conda-forge"
"referencing","0.36.2",,"pypi"
